;source;target;weight
0;lt;op1;True
1;lt;op2;True
2;lt;op5;True
3;lt;sv3;True
4;lt;sv4;True
5;lt;sv5;True
6;lt;sv6;True
7;tt;game_score;True
8;game_score;pt;True
9;game_score;final;True
10;sv1;lt;True
11;sv1;tt;True
12;sv1;op5;True
13;sv1;sv2;True
14;sv1;sv6;True
15;sv2;lt;True
16;sv2;op1;True
17;sv2;op2;True
18;sv2;sv4;True
19;sv3;op3;True
20;sv3;op5;True
21;sv4;op4;True
22;sv5;op1;True
23;sv5;programa;True
24;sv6;op6;True
25;score;score_p;True
26;score_a;score;True
27;score_a;score_d;True
28;score_d;score_p;True
29;score_d;score_s;True
30;estado;programa;True
